Statistic,Year,Type of Crop,UNIT,VALUE
Area under Crops,1985,"Total wheat, oats and barley",000 Hectares,386.2
Area under Crops,1985,Total wheat,000 Hectares,77.7
Area under Crops,1985,Winter wheat,000 Hectares,60.3
Area under Crops,1985,Spring wheat,000 Hectares,17.4
Area under Crops,1985,Total oats,000 Hectares,24.9
Area under Crops,1985,Winter oats,000 Hectares,9.1
Area under Crops,1985,Spring oats,000 Hectares,15.8
Area under Crops,1985,Total barley,000 Hectares,283.6
Area under Crops,1985,Winter barley,000 Hectares,35.5
Area under Crops,1985,Spring barley,000 Hectares,248.1
Area under Crops,1985,Beans and peas,000 Hectares,2.3
Area under Crops,1985,Oilseed rape,000 Hectares,0
Area under Crops,1985,Potatoes,000 Hectares,32.1
Area under Crops,1985,Turnips,000 Hectares,8.7
Area under Crops,1985,Sugar beet,000 Hectares,33.9
Area under Crops,1985,Fodder beet,000 Hectares,5.7
Area under Crops,1985,Kale and field cabbage,000 Hectares,3.7
Area under Crops,1986,"Total wheat, oats and barley",000 Hectares,362.6
Area under Crops,1986,Total wheat,000 Hectares,74.6
Area under Crops,1986,Winter wheat,000 Hectares,57
Area under Crops,1986,Spring wheat,000 Hectares,17.6
Area under Crops,1986,Total oats,000 Hectares,23
Area under Crops,1986,Winter oats,000 Hectares,8.8
Area under Crops,1986,Spring oats,000 Hectares,14.2
Area under Crops,1986,Total barley,000 Hectares,265
Area under Crops,1986,Winter barley,000 Hectares,33.9
Area under Crops,1986,Spring barley,000 Hectares,231.1
Area under Crops,1986,Beans and peas,000 Hectares,2.4
Area under Crops,1986,Oilseed rape,000 Hectares,0
Area under Crops,1986,Potatoes,000 Hectares,29.5
Area under Crops,1986,Turnips,000 Hectares,8.9
Area under Crops,1986,Sugar beet,000 Hectares,37
Area under Crops,1986,Fodder beet,000 Hectares,6.4
Area under Crops,1986,Kale and field cabbage,000 Hectares,3.5
Area under Crops,1987,"Total wheat, oats and barley",000 Hectares,334.3
Area under Crops,1987,Total wheat,000 Hectares,56.1
Area under Crops,1987,Winter wheat,000 Hectares,38.3
Area under Crops,1987,Spring wheat,000 Hectares,17.8
Area under Crops,1987,Total oats,000 Hectares,22.9
Area under Crops,1987,Winter oats,000 Hectares,9
Area under Crops,1987,Spring oats,000 Hectares,13.9
Area under Crops,1987,Total barley,000 Hectares,255.3
Area under Crops,1987,Winter barley,000 Hectares,33.6
Area under Crops,1987,Spring barley,000 Hectares,221.7
Area under Crops,1987,Beans and peas,000 Hectares,2.3
Area under Crops,1987,Oilseed rape,000 Hectares,0
Area under Crops,1987,Potatoes,000 Hectares,29.2
Area under Crops,1987,Turnips,000 Hectares,8.9
Area under Crops,1987,Sugar beet,000 Hectares,37.1
Area under Crops,1987,Fodder beet,000 Hectares,6.4
Area under Crops,1987,Kale and field cabbage,000 Hectares,2.9
Area under Crops,1988,"Total wheat, oats and barley",000 Hectares,323.6
Area under Crops,1988,Total wheat,000 Hectares,58.6
Area under Crops,1988,Winter wheat,000 Hectares,37.2
Area under Crops,1988,Spring wheat,000 Hectares,21.4
Area under Crops,1988,Total oats,000 Hectares,22.6
Area under Crops,1988,Winter oats,000 Hectares,9.6
Area under Crops,1988,Spring oats,000 Hectares,13
Area under Crops,1988,Total barley,000 Hectares,242.5
Area under Crops,1988,Winter barley,000 Hectares,28
Area under Crops,1988,Spring barley,000 Hectares,214.5
Area under Crops,1988,Beans and peas,000 Hectares,2.6
Area under Crops,1988,Oilseed rape,000 Hectares,4.7
Area under Crops,1988,Potatoes,000 Hectares,27.1
Area under Crops,1988,Turnips,000 Hectares,8.1
Area under Crops,1988,Sugar beet,000 Hectares,33.3
Area under Crops,1988,Fodder beet,000 Hectares,6.9
